"subject","label","meanX","meanY","meanZ","stdX","stdY","stdZ","type","activity"
2,"SITTING",0.27708735173913,-0.0156879937282609,-0.109218272456522,-0.986822279565217,-0.950704499130435,-0.95982817173913,NA,NA
2,"STANDING",0.279540616568627,-0.0182974918362745,-0.106537747519608,-0.981054277745098,-0.968115534901961,-0.965973119803922,NA,NA
2,"WALKING",0.276426586440678,-0.0185949199145763,-0.105500357966102,-0.423642838474576,-0.0780912533118644,-0.425257524915254,NA,NA
2,"WALKING_DOWNSTAIRS",0.27761534806383,-0.0226614158361702,-0.116812942382979,0.0463666814446808,0.262881788951064,-0.10283790806383,NA,NA
2,"WALKING_UPSTAIRS",0.247164790395833,-0.0214121132045833,-0.152513899520833,-0.304376406458333,0.108027279889583,-0.112121021220833,NA,NA
4,"SITTING",0.27153827992,-0.007163065158,-0.10587459588,-0.980309931,-0.89022398108,-0.9322030066,NA,NA
4,"STANDING",0.272183485263636,-0.0121960196080909,-0.103290723527273,-0.965763767090909,-0.900927377272727,-0.929175865,NA,NA
4,"WALKING",0.278582015166667,-0.0148399475341667,-0.11140306485,-0.440829971333333,-0.0788267367683333,-0.586252806833333,NA,NA
4,"WALKING_DOWNSTAIRS",0.279965329555556,-0.00980200850666667,-0.1067775246,0.0111935496222222,-0.21859832499,-0.479185977111111,NA,NA
4,"WALKING_UPSTAIRS",0.270876696730769,-0.0319804295729615,-0.114219455519231,-0.204933042903846,-0.0666899105180769,-0.372137777692308,NA,NA
9,"SITTING",0.24832674354,-0.02701677698,-0.07537846886,-0.9572277914,-0.875141405,-0.83200187268,NA,NA
9,"STANDING",0.270144520210526,-0.0202988250126316,-0.1017352604,-0.958158009052632,-0.926876294631579,-0.930565005578947,NA,NA
9,"WALKING",0.278502842115385,-0.0180891971284423,-0.110820512307692,-0.238353562692308,-0.201696960826923,-0.0579636469030769,NA,NA
9,"WALKING_DOWNSTAIRS",0.295923445,-0.0203994269075476,-0.0910278793952381,0.213392270547619,-0.208310705504762,-0.00771530035714285,NA,NA
9,"WALKING_UPSTAIRS",0.262436475714286,-0.0195101099975714,-0.125219003959184,-0.36144437755102,-0.302206203816327,-0.253434083542857,NA,NA
10,"SITTING",0.270612056481481,-0.015042681852037,-0.104253238796296,-0.982901825925926,-0.917979529962963,-0.967826981666667,NA,NA
10,"STANDING",0.27868614245098,-0.0205188425,-0.113198048529412,-0.97264908754902,-0.934853633627451,-0.951620486176471,NA,NA
10,"WALKING",0.278574076603774,-0.017022351190566,-0.109057512132075,-0.178709734396226,-0.0227431651698113,-0.395645072075472,NA,NA
10,"WALKING_DOWNSTAIRS",0.290401594315789,-0.0200050770710526,-0.110848597247368,0.295733547631579,0.00407915363157895,-0.183557562032895,NA,NA
10,"WALKING_UPSTAIRS",0.267121853404255,-0.0143854920340426,-0.118180420834043,-0.161591924234043,-0.00555287692765957,-0.0738744931340426,NA,NA
12,"SITTING",0.275007224901961,-0.0157892988523529,-0.106307228960784,-0.982568781960784,-0.92858124,-0.939661889019608,NA,NA
12,"STANDING",0.268831090165289,-0.0172077604659504,-0.106832682024793,-0.968388465619835,-0.935998975702479,-0.934395069561983,NA,NA
12,"WALKING",0.2771286656,-0.015560927606,-0.10316110632,-0.128898533096,-0.122783290008,-0.4106060626,NA,NA
12,"WALKING_DOWNSTAIRS",0.281521097391304,-0.018084266865793,-0.10955593226087,0.0424084916086956,0.11083534373913,-0.425017413478261,NA,NA
12,"WALKING_UPSTAIRS",0.272970338653846,-0.0263574903403846,-0.107339730115385,-0.290149192307692,-0.103818259823077,-0.436697425576923,NA,NA
13,"SITTING",0.274328499591837,-0.00587732936326531,-0.0972465110836735,-0.989546275306122,-0.938967741632653,-0.938641215510204,NA,NA
13,"STANDING",0.277215503529412,-0.0186915339184874,-0.10806429792437,-0.979491484201681,-0.95021724302521,-0.958605323781513,NA,NA
13,"WALKING",0.275883130350877,-0.0185660651947368,-0.111431456192982,-0.346980394210526,0.141866689392982,-0.220503537026316,NA,NA
13,"WALKING_DOWNSTAIRS",0.294907553404255,-0.0143723839108511,-0.101993941531915,-0.0681563626617021,-0.03212524665,-0.158333146191489,NA,NA
